18:03:29.885 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization started
18:03:29.956 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Fri Sep 23 18:03:29 CST 2016]; root of context hierarchy
18:03:29.990 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [D:\UAP\nbone-framework\nbone\nbone\nbone-web-app\target\classes\spring-demo.xml]
18:03:30.196 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [D:\UAP\nbone-framework\nbone\nbone\nbone-web-app\target\classes\spring-mvc-custom.xml]
18:03:30.219 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring-mvc.xml]
18:03:30.333 [main] INFO  o.n.f.s.support.ComponentFactory - 注入ApplicationContext到SpringContextHolder:Root WebApplicationContext: startup date [Fri Sep 23 18:03:29 CST 2016]; root of context hierarchy
18:03:30.470 [main] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 4.3.2.Final
18:03:30.721 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Fri Sep 23 18:03:29 CST 2016]; root of context hierarchy
18:03:30.764 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Fri Sep 23 18:03:29 CST 2016]; root of context hierarchy
18:03:30.797 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 905 ms
18:03:30.863 [main] INFO  o.n.f.s.w.s.ViewDispatcherServlet - FrameworkServlet 'springmvc': initialization started
18:03:30.865 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'springmvc-servlet': startup date [Fri Sep 23 18:03:30 CST 2016]; parent: Root WebApplicationContext
